verdict	reason	why	seed_id	seed_title	seed_date	seed_cat	seed_blurb	dump_id	dump_title	dump_date	dump_cat	dump_notability
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:ghana-1957-03-06	Ghana	1957-03-06	founding	Ghana gains independence from the United Kingdom. Accra is the capital.	Q117	Ghana	1957-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:gran-colombia-1819-08-07	Gran Colombia	1819-08-07	founding	1819: The Republic of Colombia (Gran Colombia) achieves independence after Simon Bolivar's triumph at the Battle of Boya	Q199821	Gran Colombia	1819-01-01	founding	0.74
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:grenada-1974-02-07	Grenada	1974-02-07	founding	The associated state of Grenada gains independence from the United Kingdom. St. George's remains the capital.	Q769	Grenada	1974-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:guyana-1966-05-26	Guyana	1966-05-26	founding	The Crown Colony of British Guiana gains independence from the United Kingdom as Guyana. Georgetown remains the capital.	Q734	Guyana	1966-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:iraq-1932-10-03	Iraq	1932-10-03	founding	The Iraqi Kingdom gains independence from the United Kingdom. Baghdad is the capital.	Q796	Iraq	1932-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:jamaica-1962-08-06	Jamaica	1962-08-06	founding	The Crown Colony of Jamaica gains independence from the United Kingdom. Kingston remains the capital.	Q766	Jamaica	1962-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:juliana-republic-1839-07-24	Juliana Republic	1839-07-24	founding	The Juliana Republic declares independence from Brazil. Laguna is the capital. The Republic capitulates and is reabsorbe	Q2413855	Juliana Republic	1839-01-01	founding	0.2
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:kazakhstan-1991-12-16	Kazakhstan	1991-12-16	founding	The Republic of Kazakhstan secedes from the Soviet Union. Alma-Ata remains the capital until 1997.	Q232	Kazakhstan	1991-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:kenya-1963-12-12	Kenya	1963-12-12	founding	Kenya gains independence from the United Kingdom. Nairobi remains the capital.	Q114	Kenya	1963-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:kingdom-of-serbia-1882-03-06	Kingdom of Serbia	1882-03-06	founding	The Kingdom of Serbia supersedes the Principality of Serbia.	Q241748	Kingdom of Serbia	1882-01-01	founding	0.63
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:kingdom-of-tungning-1661-06-14	Kingdom of Tungning	1661-06-14	founding	The Kingdom of Tungning is proclaimed in Taiwan.	Q152855	Kingdom of Tungning	1661-01-01	founding	0.42
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:kingdom-of-westphalia-1807-12-07	Kingdom of Westphalia	1807-12-07	founding	The Kingdom of Westphalia is established as a French client state. Kassel is the capital.	Q153943	Kingdom of Westphalia	1807-01-01	founding	0.5
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:kyrgyzstan-1991-08-31	Kyrgyzstan	1991-08-31	founding	The Republic of Kyrgyzstan secedes from the Soviet Union. Bishkek remains the capital.	Q813	Kyrgyzstan	1991-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:laos-1949-07-19	Laos	1949-07-19	founding	The area of Laos in French Indochina becomes a separate entity under France as the Kingdom of Laos.	Q819	Laos	1949-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:lesotho-1966-10-04	Lesotho	1966-10-04	founding	The Crown Colony of the Territory of Basutoland gains independence from the United Kingdom as the Kingdom of Lesotho. Ma	Q1013	Lesotho	1966-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:madagascar-1960-06-26	Madagascar	1960-06-26	founding	The Malagasy Republic (Madagascar) gains independence from the French Republic. Antananarivo remains the capital.	Q1019	Madagascar	1960-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:malayan-union-1946-04-01	Malayan Union	1946-04-01	founding	The Malayan Union is formed from the Federated Malay States, the states of Johor, Kedah, Kelantan, Perlis, and Terenggan	Q976099	Malayan Union	1946-01-01	founding	0.33
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:mongolia-1911-12-29	Mongolia	1911-12-29	founding	The Bogd Khanate of Mongolia declares independence from the Qing dynasty of China. Niislel Khuree is the capital.	Q711	Mongolia	1911-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:namibia-1990-03-21	Namibia	1990-03-21	founding	South West Africa gains independence from South Africa as the Republic of Namibia, fulfilling the terms of the Tripartit	Q1030	Namibia	1990-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:new-south-wales-1788-01-26	New South Wales	1788-01-26	founding	The British colony of New South Wales is established in Australia.	Q3224	New South Wales	1788-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:niger-1960-08-03	Niger	1960-08-03	founding	The Republic of Niger gains independence from the French Republic. Niamey remains the capital.	Q1032	Niger	1960-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:panama-1903-11-03	Panama	1903-11-03	founding	The Republic of Panama secedes from the Republic of Colombia. Panama City is the capital.	Q804	Panama	1903-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:papua-new-guinea-1975-09-16	Papua New Guinea	1975-09-16	founding	Papua New Guinea gains independence from Australia as the Independent State of Papua New Guinea. Port Moresby remains th	Q691	Papua New Guinea	1975-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:paraguay-1811-05-14	Paraguay	1811-05-14	founding	Paraguay gains independence from the Monarchy of Spain. Asuncion is the capital.	Q733	Paraguay	1811-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:peru-bolivian-confederation-1836-10-28	Peru-Bolivian Confederation	1836-10-28	founding	The Republic of North Peru, the Republic of South Peru, and the Bolivian Republic unite to form the Peru-Bolivian Confed	Q899706	Peru–Bolivian Confederation	1836-01-01	founding	0.33
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:republic-of-acre-1899-07-14	Republic of Acre	1899-07-14	founding	The first Republic of Acre declares independence from Bolivia. The capital is Antimary.	Q564809	Republic of Acre	1899-01-01	founding	0.21
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:republic-of-hawaii-1894-07-04	Republic of Hawaii	1894-07-04	founding	The Republic of Hawaii supersedes the Kingdom of Hawaii.	Q1057542	Republic of Hawaii	1894-01-01	founding	0.31
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:rwanda-1962-07-01	Rwanda	1962-07-01	founding	The Republic of Rwanda gains independence from the Kingdom of Belgium. Kigali is the capital.	Q1037	Rwanda	1962-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:saint-vincent-and-the-grenadines-1979-10-27	Saint Vincent and the Grenadines	1979-10-27	founding	The associated state of Saint Vincent gains independence from the United Kingdom as Saint Vincent and the Grenadines. Ki	Q757	Saint Vincent and the Grenadines	1979-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:senegal-1960-08-20	Senegal	1960-08-20	founding	The Republic of Senegal gains independence from the French Republic. Dakar remains the capital.	Q1041	Senegal	1960-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:solomon-islands-1978-07-07	Solomon Islands	1978-07-07	founding	Solomon Islands gains independence from the United Kingdom as a Commonwealth realm. Honiara remains the capital.	Q685	Solomon Islands	1978-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:south-kasai-1960-06-14	South Kasai	1960-06-14	founding	South Kasai declares independence from the Republic of the Congo (Leopoldville).	Q639073	South Kasai	1960-01-01	founding	0.29
merge-date-then-drop-seed	traditional date Mar 13 - ours is more precise (12 days apart)	title	seed:tenochtitlan-1325-03-13	Tenochtitlan	1325-03-13	founding	The Mexicas (Aztecs) establish Tenochtitlan, marking the foundation of Mexico. It is the oldest continuous capital city 	Q13695	Tenochtitlan	1325-03-01	founding	0.88
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:the-gambia-1965-02-18	The Gambia	1965-02-18	founding	The Gambia gains independence from the United Kingdom as a Commonwealth realm. Bathurst remains the capital.	Q1005	The Gambia	1965-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:tonga-1970-06-04	Tonga	1970-06-04	founding	The Kingdom of Tonga gains full independence from the United Kingdom, withdrawing from its protectorate agreement. Nuku'	Q678	Tonga	1970-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:uganda-1962-10-09	Uganda	1962-10-09	founding	Uganda gains independence from the United Kingdom as a Commonwealth realm. Kampala remains the capital.	Q1036	Uganda	1962-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:united-arab-emirates-1971-12-02	United Arab Emirates	1971-12-02	founding	The United Arab Emirates is established between six of the seven emirates of the former Trucial States: Abu Dhabi, Ajman	Q878	United Arab Emirates	1971-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:united-arab-republic-1958-02-22	United Arab Republic	1958-02-22	founding	The Egyptian Republic and the Syrian Arab Republic unite to form the United Arab Republic. Damascus yields to Cairo as t	Q170468	United Arab Republic	1958-01-01	founding	0.81
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:uzbekistan-1991-08-31	Uzbekistan	1991-08-31	founding	The Uzbek Soviet Socialist Republic secedes from the Soviet Union as the Republic of Uzbekistan. Tashkent remains the ca	Q265	Uzbekistan	1991-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	tokens	seed:mexican-empire-1864-04-10	Mexican Empire	1864-04-10	founding	The Mexican Empire supersedes the United Mexican States.	Q371334	Second Mexican Empire	1864-01-01	founding	0.42
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	tokens	seed:republic-of-costa-rica-1821-09-21	Republic of Costa Rica	1821-09-21	founding	The Republic of Costa Rica gains independence from the Monarchy of Spain. Cartago is the capital.	Q800	Costa Rica	1821-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	tokens	seed:rhodesia-and-nyasaland-1953-08-01	Rhodesia and Nyasaland	1953-08-01	founding	The British colony of Southern Rhodesia and the protectorates of Northern Rhodesia and Nyasaland merge to form Rhodesia 	Q654342	Federation of Rhodesia and Nyasaland	1953-01-01	founding	0.47
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	tokens	seed:south-maluku-1950-04-25	South Maluku	1950-04-25	founding	The unrecognized Republic of South Maluku declares independence from Indonesia.	Q1414395	Republic of South Maluku	1950-01-01	founding	0.27
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	tokens	seed:united-provinces-of-the-rio-de-la-plata-1810-05-25	United Provinces of the Rio de la Plata	1810-05-25	founding	During the May Revolution, the Spanish viceroy in the Viceroyalty of the Rio de la Plata (Argentina, Bolivia, Paraguay, 	Q738144	United Provinces of the Río de la Plata	1810-01-01	founding	0.45
